Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jai Miller,KC,38,20,55,5,13,3,0,1,4,1,0,4,23,0,0,1,.236,.300,.345,.645
Chris Dickerson,MIL,41,25,53,2,11,1,1,0,5,1,0,5,15,2,1,0,.208,.271,.264,.535
Jeff Francoeur,TEX,39,15,53,9,18,2,0,2,11,0,1,1,5,0,1,1,.340,.357,.491,.848
Ryan Church,ARI,44,37,49,9,13,5,0,2,7,0,0,4,19,0,0,2,.265,.345,.490,.835
Luis Durango,SD,37,28,48,8,12,0,0,0,4,5,0,4,7,1,0,0,.250,.308,.250,.558
Chris Dickerson,CIN,41,20,44,9,9,1,1,0,0,3,0,1,19,0,0,0,.205,.222,.273,.495
Travis Buck,OAK,39,14,42,6,7,2,0,1,2,1,0,4,14,1,0,1,.167,.255,.286,.541
Brad Hawpe,TB,44,15,39,7,7,0,0,2,7,0,0,6,17,0,0,1,.179,.304,.333,.637
Michael Ryan,LAA,46,22,39,3,8,4,0,0,2,0,0,1,5,0,1,0,.205,.220,.308,.528
Scott Cousins,FLA,38,27,37,2,11,2,2,0,2,0,0,1,13,0,0,0,.297,.316,.459,.775
Nick Evans,NYM,37,20,36,5,11,3,0,1,5,0,0,1,10,0,0,0,.306,.324,.472,.796
Jay Payton,COL,50,20,35,3,12,4,1,0,1,1,0,1,4,0,0,0,.343,.361,.514,.875
Lars Anderson,BOS,35,18,35,4,7,1,0,0,4,0,0,7,8,0,1,0,.200,.326,.229,.555
Willy Taveras,WAS,41,27,35,7,7,0,1,0,4,1,2,2,6,0,0,0,.200,.243,.257,.500
Craig Gentry,TEX,39,20,33,4,7,0,0,0,3,1,0,1,11,0,1,0,.212,.229,.212,.441
Eric Byrnes,SEA,47,15,32,1,3,2,0,0,0,1,0,6,9,0,0,0,.094,.237,.156,.393
Matt Watson,OAK,44,12,30,2,6,2,0,1,4,0,0,3,5,0,0,0,.200,.273,.367,.640
Alejandro De Aza,CWS,39,19,30,7,9,3,0,0,2,2,1,1,4,1,0,0,.300,.323,.400,.723
Jim Edmonds,CIN,53,13,29,6,6,2,0,3,3,0,0,3,7,0,0,0,.207,.281,.586,.867
Greg Halman,SEA,36,9,29,1,4,1,0,0,3,1,0,1,11,0,0,0,.138,.167,.172,.339
Ben Revere,MIN,35,13,28,1,5,0,0,0,2,0,1,2,5,0,0,0,.179,.233,.179,.412
Brian Bogusevic,HOU,39,19,28,5,5,3,0,0,3,1,1,3,12,0,0,0,.179,.258,.286,.544
Sam Fuld,CHC,41,19,28,3,4,1,0,0,3,0,0,3,5,0,0,0,.143,.226,.179,.405
Brad Snyder,CHC,41,12,27,1,5,1,0,0,5,0,0,1,12,0,0,0,.185,.214,.222,.436
Kevin Mench,WAS,45,27,27,2,3,0,0,0,1,0,0,2,6,0,0,0,.111,.172,.111,.283
Frank Catalanotto,NYM,49,25,25,2,4,1,0,0,1,0,0,1,5,0,0,0,.160,.192,.200,.392
Bryan Petersen,FLA,37,23,24,1,2,0,0,0,2,0,0,1,6,0,0,0,.083,.120,.083,.203
Rocco Baldelli,TB,42,10,24,3,5,1,0,1,5,1,0,1,5,0,0,0,.208,.240,.375,.615
Alex Presley,PIT,38,19,23,2,6,1,0,0,0,1,1,1,8,1,0,0,.261,.292,.304,.596
Jeff Frazier,DET,41,9,23,3,5,1,0,0,1,0,0,1,6,0,0,0,.217,.250,.261,.511
Trent Oeltjen,LAD,40,14,23,5,5,1,1,0,1,0,0,4,8,2,0,1,.217,.357,.348,.705
Greg Golson,NYY,38,24,23,3,6,2,0,0,2,0,2,0,3,0,0,0,.261,.261,.348,.609
Paul McAnulty,LAA,42,9,22,2,3,0,0,1,2,0,0,2,11,0,0,0,.136,.208,.273,.481
Jeremy Reed,TOR,42,14,21,1,3,0,0,1,3,1,0,2,8,0,0,0,.143,.217,.286,.503
Desmond Jennings,TB,36,17,21,5,4,1,1,0,2,2,2,2,4,0,0,1,.190,.292,.333,.625
Jonathan Van Every,BOS,43,22,19,6,4,1,0,1,1,0,0,2,9,0,0,0,.211,.286,.421,.707
Fernando Martinez,NYM,34,7,18,1,3,0,0,0,2,0,1,1,5,0,1,2,.167,.273,.167,.440
Chad Huffman,NYY,38,9,18,1,3,0,0,0,2,0,0,2,5,0,0,1,.167,.286,.167,.453
Bobby Scales,CHC,45,10,13,4,4,0,0,0,2,1,0,7,5,0,0,0,.308,.550,.308,.858
Cory Aldridge,LAA,44,5,13,0,1,0,1,0,1,0,0,0,5,0,0,0,.077,.077,.231,.308
John Mayberry,PHI,39,11,12,4,4,0,0,2,6,0,1,1,4,0,0,0,.333,.385,.833,1.218
John Raynor,PIT,39,11,10,1,2,0,0,0,0,0,0,1,3,0,0,0,.200,.273,.200,.473
Mike Baxter,SD,38,9,8,0,1,0,0,0,1,0,0,0,2,0,1,0,.125,.111,.125,.236
Adam Stern,MIL,43,6,8,0,0,0,0,0,1,0,0,0,2,0,0,0,.000,.000,.000,.000
Brandon Boggs,TEX,40,4,7,0,0,0,0,0,0,0,0,1,4,0,0,0,.000,.125,.000,.125
Brent Clevlen,ATL,39,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,.250,.250,.500,.750
Terry Evans,LAA,41,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
